id,outcome1,outcome2,outcome3,numofdraw,jar
18290,1,2,2,1,0
18291,1,2,2,1,1
18292,1,0,0,3,1
18293,0,2,2,1,1
18294,0,1,0,3,1
18295,0,1,2,2,0
18296,0,1,1,3,1
18297,1,1,2,2,1
18298,1,2,2,1,1
18299,0,1,0,3,1
18300,0,1,2,2,0
18301,2,2,2,0,0
18302,0,2,2,1,0
18303,0,0,0,3,1
18304,2,2,2,0,1
18305,1,1,2,2,0
18306,0,2,2,1,0
18307,1,2,2,1,1
18308,0,2,2,1,1
18309,2,2,2,0,1
18310,2,2,2,0,0
18311,0,2,2,1,1
18312,2,2,2,0,1
18313,1,0,0,3,1
18314,0,0,0,3,0
18315,1,0,2,2,0
18316,2,2,2,0,1
18317,0,2,2,1,1
18318,0,2,2,1,0
18319,0,0,2,2,0
18320,1,1,0,3,0
18321,0,2,2,1,1
18322,2,2,2,0,0
18323,2,2,2,0,1
18324,1,1,1,3,0
18325,0,0,0,3,1
18326,2,2,2,0,1
18327,2,2,2,0,1
18328,1,2,2,1,0
18329,1,1,2,2,0
18330,1,2,2,1,0
18331,2,2,2,0,1
18332,0,2,2,1,1
18333,1,1,2,2,0
18334,0,0,1,3,1
18335,0,2,2,1,0
18336,0,0,1,3,0
18337,1,1,2,2,0
18338,0,2,2,1,0
18339,0,1,1,3,1
18340,2,2,2,0,0
18341,1,2,2,1,1
18342,0,2,2,1,1
18343,1,2,2,1,1
18344,1,1,1,3,0
18345,1,1,2,2,0
18346,1,0,1,3,0
18347,0,0,0,3,0
18348,2,2,2,0,0
18349,0,1,0,3,1
18350,1,2,2,1,0
18351,0,0,2,2,1
18352,1,1,1,3,0
18353,0,0,2,2,0
18354,0,0,2,2,1
18355,1,0,2,2,0
18356,2,2,2,0,0
18357,2,2,2,0,1
18358,1,1,0,3,0
18359,0,2,2,1,1
18360,1,2,2,1,0
18361,1,1,2,2,0
18362,0,0,2,2,1
18363,0,0,1,3,1
18364,0,0,2,2,0
18365,0,0,2,2,1
18366,1,1,2,2,1
18367,1,0,0,3,0
18368,0,1,0,3,1
18369,1,1,2,2,1
18370,2,2,2,0,0
18371,2,2,2,0,0
18372,2,2,2,0,0
18373,1,0,2,2,1
18374,0,1,2,2,1
18375,1,0,0,3,1
18376,1,1,1,3,0
18377,0,1,2,2,1
18378,1,1,2,2,0
18379,1,1,2,2,0
18380,1,0,2,2,1
18381,2,2,2,0,0
18382,1,0,2,2,0
18383,1,0,0,3,0
18384,0,1,0,3,0
18385,0,2,2,1,0
18386,0,1,2,2,1
18387,1,1,1,3,0
18388,2,2,2,0,0
18389,0,0,2,2,1
18390,1,0,1,3,1
18391,1,0,2,2,1
18392,1,0,0,3,1
18393,0,1,2,2,0
18394,1,0,2,2,0
18395,1,1,2,2,1
18396,0,1,1,3,0
18397,0,0,2,2,1
18398,1,1,2,2,1
18399,1,1,1,3,0
18400,1,0,2,2,0
18401,2,2,2,0,0
18402,1,1,0,3,0
18403,0,1,2,2,1
18404,0,1,2,2,0
18405,1,1,1,3,0
18406,2,2,2,0,1
18407,0,0,1,3,0
18408,1,0,1,3,1
18409,0,0,2,2,1
18410,0,0,0,3,1
18411,1,1,2,2,0
18412,1,1,2,2,0
18413,0,2,2,1,1
18414,0,1,1,3,0
18415,0,1,2,2,0
18416,1,0,1,3,0
18417,2,2,2,0,1
18418,0,2,2,1,1
18419,2,2,2,0,1
18420,0,0,0,3,1
18421,1,0,2,2,1
18422,0,0,0,3,1
18423,0,0,0,3,0
18424,0,1,2,2,1
18425,0,1,2,2,0
18426,1,0,0,3,1
18427,2,2,2,0,1
18428,1,2,2,1,1
18429,0,2,2,1,0
18430,1,2,2,1,0
18431,2,2,2,0,1
18432,2,2,2,0,1
18433,0,0,1,3,1
18434,1,1,0,3,0
18435,1,2,2,1,1
18436,2,2,2,0,0
18437,1,0,2,2,0
18438,2,2,2,0,1
18439,1,0,2,2,0
18440,2,2,2,0,0
18441,1,1,2,2,0
18442,1,1,2,2,0
18443,2,2,2,0,1
18444,1,2,2,1,1
18445,0,1,2,2,1
18446,1,2,2,1,0
18447,1,1,2,2,0
18448,1,2,2,1,0
18449,0,1,1,3,1
18450,2,2,2,0,1
18451,2,2,2,0,1
18452,0,1,2,2,1
18453,0,2,2,1,1
18454,2,2,2,0,0
18455,1,1,2,2,0
18456,1,2,2,1,0
18457,1,1,1,3,1
18458,2,2,2,0,0
18459,1,2,2,1,0
18460,1,0,2,2,0
18461,0,1,2,2,0
18462,2,2,2,0,1
18463,0,0,0,3,0
18464,0,0,2,2,1
18465,0,0,2,2,1
18466,1,1,1,3,0
18467,1,1,0,3,0
18468,0,2,2,1,1
18469,1,1,1,3,0
18470,0,1,0,3,1
18471,0,2,2,1,1
18472,1,2,2,1,0
18473,1,0,1,3,0
18474,1,2,2,1,0
18475,0,2,2,1,0
18476,2,2,2,0,1
18477,2,2,2,0,0
18478,0,2,2,1,1
18479,1,1,0,3,0
18480,1,0,2,2,0
18481,2,2,2,0,0
18482,0,0,2,2,1
18483,1,0,2,2,1
18484,1,0,2,2,0
18485,2,2,2,0,0
18486,0,0,2,2,1
18487,1,0,0,3,1
18488,2,2,2,0,1
18489,2,2,2,0,0
18490,0,0,2,2,1
18491,0,0,0,3,1
18492,1,2,2,1,1
18493,1,0,2,2,1
18494,2,2,2,0,1
18495,0,0,2,2,1
18496,1,2,2,1,0
18497,1,0,0,3,0
18498,2,2,2,0,0
18499,2,2,2,0,1
18500,0,1,1,3,1
18501,0,2,2,1,1
18502,1,2,2,1,1
18503,0,1,1,3,0
18504,2,2,2,0,0
18505,1,2,2,1,0
18506,2,2,2,0,1
18507,0,0,2,2,1
18508,0,2,2,1,1
18509,1,0,2,2,1
18510,1,1,2,2,1
18511,1,2,2,1,0
18512,2,2,2,0,0
18513,2,2,2,0,1
18514,2,2,2,0,0
18515,2,2,2,0,0
18516,2,2,2,0,0
18517,0,1,2,2,0
18518,1,2,2,1,0
18519,1,0,1,3,0
18520,1,2,2,1,0
18521,2,2,2,0,1
18522,1,1,0,3,1
18523,0,2,2,1,0
18524,2,2,2,0,0
18525,1,1,2,2,0
18526,0,0,2,2,1
18527,1,1,2,2,0
18528,0,2,2,1,0
18529,1,0,1,3,0
18530,0,2,2,1,1
18531,2,2,2,0,1
18532,1,2,2,1,1
18533,1,2,2,1,0
18534,2,2,2,0,1
18535,0,1,2,2,1
18536,2,2,2,0,1
18537,0,1,1,3,0
18538,2,2,2,0,0
18539,2,2,2,0,0
18540,2,2,2,0,1
18541,1,0,2,2,0
18542,0,0,2,2,1
18543,0,0,2,2,1
18544,2,2,2,0,1
18545,2,2,2,0,0
18546,0,0,0,3,1
18547,2,2,2,0,0
18548,2,2,2,0,0
18549,2,2,2,0,0
18550,1,2,2,1,0
18551,1,0,0,3,1
18552,1,2,2,1,1
18553,1,2,2,1,1
18554,1,2,2,1,0
18555,0,0,0,3,1
18556,0,2,2,1,0
18557,2,2,2,0,1
18558,2,2,2,0,0
18559,1,1,0,3,1
18560,2,2,2,0,1
18561,1,1,0,3,0
18562,2,2,2,0,0
18563,1,1,0,3,0
18564,0,0,1,3,0
18565,0,2,2,1,1
18566,1,1,2,2,0
18567,0,2,2,1,1
18568,1,1,2,2,0
18569,2,2,2,0,0
18570,2,2,2,0,0
18571,1,2,2,1,1
18572,1,2,2,1,1
18573,1,2,2,1,0
18574,0,2,2,1,1
18575,2,2,2,0,0
18576,1,1,0,3,0
18577,0,0,2,2,1
18578,1,0,0,3,1
18579,0,0,1,3,0
18580,1,0,1,3,1
18581,2,2,2,0,0
18582,1,1,1,3,0
18583,0,2,2,1,1
18584,1,2,2,1,0
18585,1,1,2,2,0
18586,0,0,0,3,1
18587,0,2,2,1,0
18588,0,0,2,2,1
18589,1,1,1,3,0
18590,1,1,2,2,1
18591,2,2,2,0,0
18592,0,2,2,1,0
18593,1,1,2,2,0
18594,2,2,2,0,1
18595,0,0,2,2,1
18596,2,2,2,0,0
18597,1,2,2,1,0
18598,0,2,2,1,1
18599,2,2,2,0,0
18600,1,0,2,2,1
18601,1,2,2,1,0
18602,0,2,2,1,1
18603,0,0,2,2,1
18604,0,2,2,1,1
18605,0,0,2,2,1
18606,1,2,2,1,0
18607,2,2,2,0,1
18608,0,1,2,2,1
18609,2,2,2,0,0
18610,1,2,2,1,0
18611,1,1,2,2,0
18612,1,1,0,3,0
18613,0,1,1,3,0
18614,0,0,1,3,0
18615,1,2,2,1,1
18616,1,0,1,3,1
18617,0,0,0,3,1
18618,2,2,2,0,0
18619,1,1,2,2,0
18620,2,2,2,0,1
18621,1,2,2,1,1
18622,1,2,2,1,0
18623,0,2,2,1,0
18624,0,2,2,1,0
18625,0,2,2,1,0
18626,0,0,2,2,1
18627,2,2,2,0,0
18628,2,2,2,0,0
18629,0,0,2,2,1
18630,0,0,1,3,0
18631,2,2,2,0,0
18632,1,0,2,2,1
18633,0,0,0,3,1
18634,1,0,0,3,1
18635,1,1,2,2,0
18636,0,0,2,2,0
18637,2,2,2,0,1
18638,1,1,2,2,1
18639,0,2,2,1,0
18640,2,2,2,0,0
18641,2,2,2,0,0
18642,1,1,0,3,0
18643,2,2,2,0,1
18644,1,0,0,3,1
18645,1,1,2,2,0
18646,0,1,2,2,1
18647,1,1,2,2,0
18648,0,0,0,3,1
18649,1,1,0,3,1
18650,1,1,2,2,0
18651,0,0,1,3,1
18652,1,2,2,1,0
18653,0,0,1,3,1
18654,0,1,2,2,1
18655,2,2,2,0,0
18656,0,0,0,3,1
18657,0,0,0,3,1
18658,1,1,2,2,0
18659,0,0,0,3,1
18660,0,0,1,3,1
18661,0,0,2,2,1
18662,0,2,2,1,0
18663,2,2,2,0,0
18664,0,2,2,1,0
18665,2,2,2,0,0
18666,2,2,2,0,1
18667,0,2,2,1,0
18668,1,2,2,1,1
18669,1,0,2,2,1
18670,2,2,2,0,1
18671,0,2,2,1,1
18672,2,2,2,0,0
18673,1,2,2,1,1
18674,1,2,2,1,1
18675,2,2,2,0,0
18676,0,1,1,3,0
18677,2,2,2,0,1
18678,0,1,0,3,0
18679,1,2,2,1,0
18680,0,1,2,2,1
18681,2,2,2,0,1
18682,1,0,0,3,1
18683,0,2,2,1,1
18684,0,2,2,1,1
18685,1,1,2,2,0
18686,2,2,2,0,0
18687,1,2,2,1,0
18688,2,2,2,0,1
18689,2,2,2,0,1
18690,0,2,2,1,1
18691,0,0,2,2,1
18692,0,0,0,3,1
18693,0,0,1,3,0
18694,1,2,2,1,0
18695,2,2,2,0,0
18696,1,1,2,2,0
18697,0,1,0,3,1
18698,0,1,0,3,1
18699,1,1,2,2,0
18700,1,1,2,2,0
18701,0,0,1,3,0
18702,0,2,2,1,1
18703,0,2,2,1,0
18704,1,2,2,1,0
18705,1,0,1,3,1
18706,1,2,2,1,1
18707,2,2,2,0,1
18708,1,1,1,3,0
18709,0,2,2,1,1
18710,0,0,2,2,0
18711,0,2,2,1,1
18712,2,2,2,0,1
18713,0,0,2,2,1
18714,1,2,2,1,0
18715,1,1,1,3,0
18716,1,0,1,3,1
18717,0,0,0,3,0
18718,0,2,2,1,1
18719,0,0,1,3,1
18720,2,2,2,0,0
18721,1,1,0,3,1
18722,1,0,1,3,1
18723,0,2,2,1,1
18724,0,2,2,1,1
18725,2,2,2,0,0
18726,2,2,2,0,0
18727,1,0,1,3,0
18728,1,0,2,2,1
18729,1,0,2,2,0
18730,0,2,2,1,1
18731,1,1,2,2,0
18732,1,0,2,2,1
18733,0,2,2,1,0
18734,2,2,2,0,1
18735,2,2,2,0,1
18736,1,1,2,2,0
18737,2,2,2,0,0
18738,2,2,2,0,1
18739,2,2,2,0,1
18740,0,1,2,2,1
18741,0,1,2,2,1
18742,1,0,2,2,0
18743,0,1,0,3,1
18744,0,0,0,3,1
18745,0,1,2,2,1
18746,0,1,1,3,1
18747,1,0,0,3,0
18748,1,1,2,2,0
18749,1,2,2,1,0
18750,1,0,2,2,0
18751,2,2,2,0,0
18752,2,2,2,0,1
18753,0,2,2,1,1
18754,0,2,2,1,0
18755,0,2,2,1,1
18756,1,2,2,1,0
18757,1,1,2,2,0
18758,2,2,2,0,0
18759,1,1,1,3,0
18760,1,0,2,2,0
18761,0,0,1,3,1
18762,1,0,0,3,1
18763,2,2,2,0,0
18764,1,1,2,2,0
18765,0,1,2,2,0
18766,2,2,2,0,0
18767,1,0,2,2,0
18768,0,1,2,2,0
18769,1,1,1,3,0
18770,1,0,2,2,1
18771,1,1,2,2,0
18772,1,1,2,2,0
18773,0,0,2,2,1
18774,0,2,2,1,1
18775,2,2,2,0,0
18776,0,1,2,2,1
18777,0,2,2,1,1
18778,1,1,1,3,0
18779,1,0,2,2,1
18780,1,2,2,1,1
18781,0,0,2,2,1
18782,0,0,2,2,1
18783,1,1,0,3,0
18784,1,2,2,1,1
18785,0,2,2,1,1
18786,1,2,2,1,0
18787,2,2,2,0,0
18788,1,1,2,2,0
18789,0,2,2,1,0
18790,1,2,2,1,0
18791,2,2,2,0,1
18792,2,2,2,0,0
18793,0,1,1,3,0
18794,2,2,2,0,0
18795,2,2,2,0,0
18796,0,1,0,3,0
18797,0,1,0,3,0
18798,2,2,2,0,0
18799,2,2,2,0,0
18800,0,1,1,3,1
18801,0,2,2,1,1
18802,1,1,2,2,1
18803,1,1,1,3,0
18804,0,1,2,2,0
18805,0,0,2,2,1
18806,0,0,2,2,1
18807,1,2,2,1,1
18808,2,2,2,0,1
18809,0,0,1,3,1
18810,0,0,2,2,1
18811,0,0,2,2,1
18812,1,2,2,1,0
18813,0,1,0,3,1
18814,0,0,2,2,1
18815,2,2,2,0,1
18816,1,2,2,1,1
18817,1,2,2,1,0
18818,2,2,2,0,1
18819,1,0,2,2,1
18820,2,2,2,0,0
18821,1,1,2,2,1
18822,1,2,2,1,0
18823,2,2,2,0,0
18824,1,2,2,1,1
18825,2,2,2,0,0
18826,2,2,2,0,0
18827,0,0,2,2,1
18828,1,2,2,1,1
18829,1,2,2,1,0
18830,1,1,0,3,1
18831,2,2,2,0,1
18832,2,2,2,0,1
18833,0,1,1,3,1
18834,2,2,2,0,0
18835,1,1,2,2,1
18836,2,2,2,0,0
18837,1,2,2,1,0
18838,0,0,2,2,1
18839,0,0,0,3,0
18840,1,0,2,2,0
18841,2,2,2,0,0
18842,0,0,2,2,1
18843,1,0,1,3,0
18844,0,2,2,1,1
18845,2,2,2,0,1
18846,0,0,2,2,1
18847,1,2,2,1,1
18848,1,0,1,3,1
18849,0,2,2,1,1
18850,0,2,2,1,0
18851,1,0,2,2,0
18852,0,1,2,2,1
18853,1,2,2,1,0
18854,1,0,2,2,0
18855,2,2,2,0,1
18856,2,2,2,0,1
18857,0,1,1,3,0
18858,0,1,1,3,1
18859,0,1,0,3,1
18860,2,2,2,0,0
18861,0,0,2,2,0
18862,1,1,2,2,0
18863,1,2,2,1,1
18864,1,2,2,1,0
18865,1,1,1,3,0
18866,0,1,0,3,1
18867,0,1,2,2,1
18868,1,2,2,1,0
18869,2,2,2,0,0
18870,0,2,2,1,1
18871,0,2,2,1,1
18872,0,0,1,3,1
18873,1,1,2,2,0
18874,0,0,2,2,1
18875,2,2,2,0,1
18876,0,2,2,1,0
18877,2,2,2,0,1
18878,1,1,1,3,0
18879,1,1,1,3,0
18880,1,1,1,3,0
18881,2,2,2,0,1
18882,2,2,2,0,0
18883,0,1,2,2,0
18884,2,2,2,0,1
18885,0,2,2,1,0
18886,1,0,2,2,0
18887,2,2,2,0,1
18888,2,2,2,0,1
18889,2,2,2,0,0
18890,2,2,2,0,1
18891,2,2,2,0,0
18892,2,2,2,0,0
18893,0,1,1,3,0
18894,0,1,0,3,0
18895,1,1,2,2,0
18896,1,2,2,1,0
18897,1,2,2,1,0
18898,0,2,2,1,1
18899,0,1,2,2,1
18900,2,2,2,0,1
18901,0,2,2,1,1
18902,1,2,2,1,1
18903,1,1,1,3,0
18904,0,1,2,2,0
18905,2,2,2,0,0
18906,1,1,1,3,0
18907,0,2,2,1,0
18908,0,1,2,2,0
18909,0,2,2,1,1
18910,0,2,2,1,1
18911,0,1,2,2,1
18912,2,2,2,0,0
18913,2,2,2,0,0
18914,2,2,2,0,1
18915,0,2,2,1,0
18916,1,0,2,2,0
18917,1,1,1,3,0
18918,2,2,2,0,1
18919,1,1,2,2,0
18920,0,0,2,2,1
18921,2,2,2,0,1
18922,1,1,0,3,1
18923,1,2,2,1,0
18924,0,1,1,3,0
18925,0,2,2,1,1
18926,2,2,2,0,1
18927,2,2,2,0,0
18928,2,2,2,0,1
18929,1,1,2,2,0
18930,2,2,2,0,0
18931,2,2,2,0,0
18932,2,2,2,0,1
18933,1,1,2,2,1
18934,1,2,2,1,0
18935,1,1,2,2,1
18936,0,2,2,1,0
18937,1,2,2,1,1
18938,0,0,2,2,0
18939,0,2,2,1,0
18940,2,2,2,0,0
18941,0,0,0,3,0
18942,0,0,2,2,1
18943,1,0,2,2,0
18944,0,0,0,3,1
18945,0,2,2,1,0
18946,2,2,2,0,1
18947,1,1,2,2,0
18948,1,2,2,1,1
18949,0,2,2,1,1
18950,1,2,2,1,0
18951,0,2,2,1,1
18952,0,1,1,3,0
18953,1,1,2,2,0
18954,1,1,2,2,0
18955,1,2,2,1,0
18956,2,2,2,0,1
18957,0,0,1,3,0
18958,2,2,2,0,1
18959,1,1,0,3,0
18960,0,2,2,1,0
18961,0,0,0,3,1
18962,0,2,2,1,1
18963,2,2,2,0,1
18964,1,1,2,2,0
18965,1,2,2,1,1
18966,1,1,0,3,0
18967,0,0,2,2,1
18968,0,2,2,1,1
18969,0,1,2,2,1
18970,1,0,1,3,0
18971,1,1,2,2,1
18972,2,2,2,0,1
18973,2,2,2,0,0
18974,2,2,2,0,0
18975,2,2,2,0,1
18976,0,0,0,3,1
18977,1,2,2,1,1
18978,1,1,1,3,0
18979,1,1,0,3,0
18980,2,2,2,0,1
18981,0,2,2,1,1
18982,0,2,2,1,0
18983,2,2,2,0,0
18984,2,2,2,0,1
18985,0,2,2,1,0
18986,1,1,2,2,0
18987,2,2,2,0,1
18988,1,0,1,3,1
18989,2,2,2,0,1
18990,2,2,2,0,1
18991,1,2,2,1,1
18992,0,1,1,3,1
18993,1,1,0,3,0
18994,2,2,2,0,0
18995,2,2,2,0,1
18996,0,0,0,3,1
18997,1,0,2,2,0
18998,2,2,2,0,0
18999,1,2,2,1,1
19000,0,2,2,1,0
19001,1,2,2,1,1
19002,2,2,2,0,1
19003,2,2,2,0,0
19004,1,1,2,2,0
19005,0,1,2,2,0
19006,0,0,2,2,0
19007,0,0,2,2,1
19008,1,1,1,3,0
19009,1,0,0,3,0
19010,0,0,2,2,0
19011,0,0,2,2,0
19012,1,0,1,3,0
19013,0,2,2,1,1
19014,0,0,2,2,1
19015,2,2,2,0,0
19016,2,2,2,0,0
19017,0,0,2,2,1
19018,0,1,2,2,0
19019,0,0,2,2,1
19020,1,1,0,3,0
19021,0,1,2,2,1
19022,1,1,0,3,0
19023,0,0,0,3,1
19024,1,2,2,1,1
19025,1,1,2,2,0
19026,2,2,2,0,1
19027,2,2,2,0,1
19028,2,2,2,0,0
19029,1,2,2,1,0
19030,1,1,2,2,0
19031,1,1,1,3,0
19032,0,2,2,1,1
19033,2,2,2,0,1
19034,1,0,2,2,1
19035,1,1,2,2,1
19036,0,0,2,2,1
19037,0,0,1,3,1
19038,2,2,2,0,1
19039,1,1,0,3,1
19040,0,0,0,3,1
19041,0,0,2,2,0
19042,1,2,2,1,0
19043,1,1,2,2,0
19044,2,2,2,0,1
19045,0,0,1,3,1
19046,1,1,2,2,1
19047,0,2,2,1,0
19048,0,1,1,3,0
19049,0,0,2,2,0
19050,2,2,2,0,0
19051,1,2,2,1,0
19052,0,2,2,1,1
19053,2,2,2,0,0
19054,2,2,2,0,1
19055,1,1,0,3,0
19056,2,2,2,0,1
19057,2,2,2,0,0
19058,0,2,2,1,0
19059,0,0,0,3,1
19060,1,0,2,2,1
19061,1,1,2,2,1
19062,0,0,1,3,0
19063,2,2,2,0,1
19064,2,2,2,0,1
19065,1,0,1,3,0
19066,1,2,2,1,0
19067,2,2,2,0,1
19068,1,2,2,1,0
19069,1,1,2,2,0
19070,2,2,2,0,0
19071,1,2,2,1,0
19072,2,2,2,0,0
19073,0,0,2,2,1
19074,0,0,0,3,1
19075,1,2,2,1,1
19076,2,2,2,0,0
19077,2,2,2,0,1
19078,2,2,2,0,0
19079,1,0,0,3,0
19080,0,0,0,3,1
19081,0,2,2,1,1
19082,0,2,2,1,1
19083,1,0,1,3,1
19084,0,0,2,2,1
19085,1,1,2,2,1
19086,0,1,0,3,1
19087,0,0,1,3,1
19088,2,2,2,0,1
19089,0,0,0,3,1
19090,1,1,0,3,0
19091,0,0,2,2,1
19092,1,0,0,3,0
19093,1,1,2,2,0
19094,1,1,2,2,1
19095,2,2,2,0,1
19096,2,2,2,0,1
19097,1,2,2,1,0
19098,1,0,2,2,1
19099,1,0,2,2,1
19100,2,2,2,0,0
19101,0,2,2,1,0
19102,0,1,2,2,1
19103,0,2,2,1,0
19104,1,1,1,3,0
19105,0,0,1,3,1
19106,0,0,2,2,1
19107,0,1,0,3,1
19108,1,2,2,1,0
19109,2,2,2,0,1
19110,1,0,2,2,0
19111,2,2,2,0,0
19112,0,2,2,1,1
19113,2,2,2,0,1
19114,1,0,2,2,1
19115,1,0,1,3,1
19116,2,2,2,0,1
19117,1,2,2,1,0
19118,2,2,2,0,1
19119,0,0,0,3,0
19120,0,0,1,3,1
19121,2,2,2,0,1
19122,1,2,2,1,0
19123,2,2,2,0,1
19124,2,2,2,0,1
19125,0,2,2,1,1
19126,0,1,0,3,0
19127,2,2,2,0,0
19128,2,2,2,0,0
19129,0,1,2,2,0
19130,0,2,2,1,1
19131,0,2,2,1,0
19132,0,2,2,1,0
19133,0,2,2,1,1
19134,0,2,2,1,1
19135,1,0,2,2,1
19136,1,0,1,3,1
19137,1,2,2,1,0
19138,0,1,1,3,1
19139,2,2,2,0,1
19140,1,0,0,3,1
19141,2,2,2,0,0
19142,2,2,2,0,0
19143,0,1,2,2,1
19144,1,1,1,3,0
19145,1,1,0,3,1
19146,0,2,2,1,1
19147,1,2,2,1,0
19148,0,1,2,2,0
19149,2,2,2,0,0
19150,0,1,1,3,0
19151,1,1,0,3,1
19152,1,1,1,3,0
19153,0,1,2,2,0
19154,0,2,2,1,0
19155,2,2,2,0,1
19156,2,2,2,0,0
19157,1,0,2,2,1
19158,0,0,2,2,1
19159,1,0,2,2,1
19160,2,2,2,0,1
19161,2,2,2,0,0
19162,1,2,2,1,1
19163,0,0,0,3,1
19164,2,2,2,0,1
19165,1,1,0,3,1
19166,0,2,2,1,1
19167,2,2,2,0,0
19168,2,2,2,0,0
19169,2,2,2,0,1
19170,1,1,2,2,0
19171,0,0,2,2,1
19172,1,1,0,3,0
19173,0,1,2,2,0
19174,1,0,1,3,1
19175,0,2,2,1,0
19176,0,0,2,2,0
19177,2,2,2,0,0
19178,1,0,0,3,0
19179,1,2,2,1,1
19180,1,1,2,2,0
19181,0,0,2,2,1
19182,2,2,2,0,0
19183,1,1,2,2,1
19184,1,0,0,3,1
19185,1,0,1,3,0
19186,2,2,2,0,1
19187,0,1,1,3,0
19188,2,2,2,0,1
19189,0,1,2,2,1
19190,1,0,0,3,1
19191,1,1,0,3,0
19192,1,1,2,2,0
19193,0,0,2,2,1
19194,0,1,2,2,1
19195,2,2,2,0,0
19196,1,0,1,3,1
19197,0,1,1,3,0
19198,0,0,2,2,1
19199,1,0,1,3,1
19200,0,1,1,3,0
19201,2,2,2,0,0
19202,1,0,2,2,1
19203,1,1,1,3,0
19204,0,1,0,3,0
19205,1,2,2,1,0
19206,1,0,2,2,0
19207,0,1,2,2,0
19208,0,2,2,1,0
19209,2,2,2,0,0
19210,2,2,2,0,0
19211,2,2,2,0,0
19212,1,2,2,1,0
19213,0,2,2,1,1
19214,0,1,2,2,1
19215,1,0,1,3,1
19216,1,2,2,1,0
19217,0,2,2,1,1
19218,0,2,2,1,0
19219,2,2,2,0,1
19220,1,1,0,3,1
19221,1,2,2,1,0
19222,1,1,0,3,0
19223,1,1,2,2,0
19224,2,2,2,0,0
19225,0,2,2,1,0
19226,2,2,2,0,1
19227,0,1,2,2,0
19228,0,2,2,1,1
19229,2,2,2,0,1
19230,1,2,2,1,0
19231,2,2,2,0,0
19232,1,0,2,2,0
19233,0,0,1,3,1
19234,1,0,2,2,0
19235,0,2,2,1,1
19236,0,0,2,2,1
19237,2,2,2,0,1
19238,1,0,2,2,0
19239,1,0,2,2,1
19240,1,1,2,2,0
19241,0,0,0,3,1
19242,1,2,2,1,1
19243,2,2,2,0,1
19244,1,2,2,1,0
19245,0,2,2,1,1
19246,2,2,2,0,0
19247,0,0,2,2,1
19248,0,0,2,2,0
19249,2,2,2,0,0
19250,1,2,2,1,1
19251,2,2,2,0,0
19252,0,0,2,2,1
19253,1,1,2,2,0
19254,1,1,0,3,0
19255,0,0,0,3,1
19256,0,1,2,2,0
19257,0,2,2,1,0
19258,1,0,2,2,1
19259,2,2,2,0,1
19260,2,2,2,0,1
19261,0,0,2,2,0
19262,2,2,2,0,0
19263,1,1,1,3,0
19264,2,2,2,0,1
19265,1,1,0,3,1
19266,1,0,0,3,1
19267,1,0,1,3,0
19268,1,1,2,2,0
19269,1,1,0,3,0
19270,0,1,0,3,0
19271,0,0,2,2,1
19272,0,1,0,3,1
19273,2,2,2,0,1
19274,0,1,1,3,0
19275,1,1,2,2,0
19276,0,0,2,2,1
19277,1,0,1,3,0
19278,2,2,2,0,0
19279,1,1,1,3,0
19280,0,2,2,1,1
19281,0,2,2,1,1
19282,1,0,2,2,0
19283,1,1,0,3,1
19284,1,0,2,2,0
19285,0,1,2,2,1
19286,0,0,0,3,0
19287,0,0,1,3,0
19288,2,2,2,0,1
19289,1,2,2,1,0
19290,1,2,2,1,1
19291,0,0,2,2,0
19292,0,1,1,3,1
19293,1,1,1,3,0
19294,1,2,2,1,1
19295,1,1,2,2,0
19296,1,0,2,2,0
19297,0,0,0,3,1
19298,0,0,0,3,1
19299,0,1,2,2,0
19300,1,0,2,2,0
19301,0,2,2,1,1
19302,2,2,2,0,0
19303,2,2,2,0,1
19304,0,2,2,1,1
19305,1,2,2,1,0
19306,0,2,2,1,1
19307,0,0,1,3,0
19308,0,1,0,3,1
19309,0,1,1,3,1
19310,0,0,2,2,1
19311,2,2,2,0,0
19312,2,2,2,0,0
19313,1,2,2,1,0
19314,2,2,2,0,0
19315,0,1,2,2,0
19316,0,2,2,1,0
19317,1,1,1,3,0
19318,0,0,2,2,1
19319,0,0,1,3,0
19320,1,1,2,2,0
19321,0,0,1,3,0
19322,1,0,1,3,1
19323,0,1,2,2,1
19324,0,0,0,3,1
19325,0,0,0,3,1
19326,1,0,2,2,0
19327,1,0,0,3,0
19328,0,0,2,2,1
19329,1,2,2,1,0
19330,2,2,2,0,1
19331,1,2,2,1,0
19332,0,2,2,1,1
19333,0,1,2,2,1
19334,1,2,2,1,0
19335,2,2,2,0,1
19336,1,1,2,2,0
19337,0,0,0,3,1
19338,0,1,1,3,0
19339,1,2,2,1,1
19340,0,0,2,2,0
19341,0,0,2,2,0
19342,1,2,2,1,0
19343,0,0,0,3,1
19344,0,2,2,1,1
19345,1,0,2,2,1
19346,1,2,2,1,0
19347,1,0,2,2,1
19348,1,1,1,3,0
19349,1,1,0,3,0
19350,0,0,2,2,1
19351,0,0,2,2,1
19352,2,2,2,0,0
19353,2,2,2,0,0
19354,2,2,2,0,0
19355,1,0,2,2,1
19356,0,1,0,3,0
19357,2,2,2,0,0
19358,2,2,2,0,0
19359,1,0,1,3,0
19360,1,1,2,2,0
19361,0,1,1,3,0
19362,0,1,2,2,0
19363,0,0,0,3,1
